,iteration,value,metric
799,399,0.05903396010398865,loss
800,400,1.0,accuracy
801,400,0.05878032371401787,loss
802,401,1.0,accuracy
803,401,0.058500032871961594,loss
804,402,1.0,accuracy
805,402,0.05820607766509056,loss
806,403,1.0,accuracy
807,403,0.05791470408439636,loss
808,404,1.0,accuracy
809,404,0.057636626064777374,loss
810,405,1.0,accuracy
811,405,0.05739418417215347,loss
812,406,1.0,accuracy
813,406,0.05710891634225845,loss
814,407,1.0,accuracy
815,407,0.05682612210512161,loss
816,408,1.0,accuracy
817,408,0.05654619261622429,loss
818,409,1.0,accuracy
819,409,0.05630432441830635,loss
820,410,1.0,accuracy
821,410,0.05604727193713188,loss
822,411,1.0,accuracy
823,411,0.055772509425878525,loss
824,412,1.0,accuracy
825,412,0.055500105023384094,loss
826,413,1.0,accuracy
827,413,0.05524229258298874,loss
828,414,1.0,accuracy
829,414,0.05501648038625717,loss
830,415,1.0,accuracy
831,415,0.054749470204114914,loss
832,416,1.0,accuracy
833,416,0.054484691470861435,loss
834,417,1.0,accuracy
835,417,0.054222144186496735,loss
836,418,1.0,accuracy
837,418,0.05399550870060921,loss
838,419,1.0,accuracy
839,419,0.0537562221288681,loss
840,420,1.0,accuracy
841,420,0.053498852998018265,loss
842,421,1.0,accuracy
843,421,0.053243525326251984,loss
844,422,1.0,accuracy
845,422,0.052992187440395355,loss
846,423,1.0,accuracy
847,423,0.05278856307268143,loss
848,424,1.0,accuracy
849,424,0.052538320422172546,loss
850,425,1.0,accuracy
851,425,0.05229012295603752,loss
852,426,1.0,accuracy
853,426,0.05204439163208008,loss
854,427,1.0,accuracy
855,427,0.05182289332151413,loss
856,428,1.0,accuracy
857,428,0.051607489585876465,loss
858,429,1.0,accuracy
859,429,0.05136600881814957,loss
860,430,1.0,accuracy
861,430,0.0511263944208622,loss
862,431,1.0,accuracy
863,431,0.05088961869478226,loss
864,432,1.0,accuracy
865,432,0.05069339647889137,loss
866,433,1.0,accuracy
867,433,0.050469815731048584,loss
868,434,1.0,accuracy
869,434,0.050236478447914124,loss
870,435,1.0,accuracy
871,435,0.050005026161670685,loss
872,436,1.0,accuracy
873,436,0.04978358373045921,loss
874,437,1.0,accuracy
875,437,0.04959331825375557,loss
876,438,1.0,accuracy
877,438,0.049366313964128494,loss
878,439,1.0,accuracy
879,439,0.0491410456597805,loss
880,440,1.0,accuracy
881,440,0.048917505890131,loss
882,441,1.0,accuracy
883,441,0.04872242733836174,loss
884,442,1.0,accuracy
885,442,0.04852193593978882,loss
886,443,1.0,accuracy
887,443,0.04830252751708031,loss
888,444,1.0,accuracy
889,444,0.04808477312326431,loss
890,445,1.0,accuracy
891,445,0.0478723868727684,loss
892,446,1.0,accuracy
893,446,0.04769992455840111,loss
894,447,1.0,accuracy
895,447,0.04748617485165596,loss
896,448,1.0,accuracy
897,448,0.047274015843868256,loss
898,449,1.0,accuracy
899,449,0.047063443809747696,loss
900,450,1.0,accuracy
901,450,0.04687468335032463,loss
902,451,1.0,accuracy
903,451,0.04669146612286568,loss
904,452,1.0,accuracy
905,452,0.04648468270897865,loss
906,453,1.0,accuracy
907,453,0.046279437839984894,loss
908,454,1.0,accuracy
909,454,0.04607594385743141,loss
910,455,1.0,accuracy
911,455,0.04590194299817085,loss
912,456,1.0,accuracy
913,456,0.04571600630879402,loss
914,457,1.0,accuracy
915,457,0.045515865087509155,loss
916,458,1.0,accuracy
917,458,0.045317232608795166,loss
918,459,1.0,accuracy
919,459,0.045126769691705704,loss
920,460,1.0,accuracy
921,460,0.044966842979192734,loss
922,461,1.0,accuracy
923,461,0.044771693646907806,loss
924,462,1.0,accuracy
925,462,0.044577959924936295,loss
926,463,1.0,accuracy
927,463,0.044385671615600586,loss
928,464,1.0,accuracy
929,464,0.044210486114025116,loss
930,465,1.0,accuracy
931,465,0.04404651001095772,loss
932,466,1.0,accuracy
933,466,0.043857499957084656,loss
934,467,1.0,accuracy
935,467,0.043669868260622025,loss
936,468,1.0,accuracy
937,468,0.043484464287757874,loss
938,469,1.0,accuracy
939,469,0.043328434228897095,loss
940,470,1.0,accuracy
941,470,0.04315703362226486,loss
942,471,1.0,accuracy
943,471,0.04297385737299919,loss
944,472,1.0,accuracy
945,472,0.042791981250047684,loss
946,473,1.0,accuracy
947,473,0.04261381924152374,loss
948,474,1.0,accuracy
949,474,0.0424700602889061,loss
950,475,1.0,accuracy
951,475,0.04229137301445007,loss
952,476,1.0,accuracy
953,476,0.042113855481147766,loss
954,477,1.0,accuracy
955,477,0.04193862900137901,loss
956,478,1.0,accuracy
957,478,0.04178114980459213,loss
958,479,1.0,accuracy
959,479,0.041629184037446976,loss
960,480,1.0,accuracy
961,480,0.041455794125795364,loss
962,481,1.0,accuracy
